Document	Raw	grade
AR-130-95921	وسائل التواصل الإجتماعي له مخاطر و أضرار كثيرة، منها ضعف النظر، الكسل، عدم التواصل مع أفراد العائلة. الكثير من الناس لا يشعرون أن وسائل التواصل الإجتماعي لها مخاطر عليهم و على الذين حولهم. النظر يعد من أهم الحواس لدى الإنسان، فالنظر شيء ثمين. الكثير من المراهقين يجلسون أمام الهاتف أو الحاسوب لساعات طويلة دون الشعور بمرور الوقت، فيبدأ النظر بالضعف و تتعب الأعين من الضوء وتحمر، تطلب الأعين الراحة. يجهل، المراهقون ذلك ولا يهتمون لضعف النظر، فيجلسوم امام الهاتف لساعات طويلة.، بعد ذلك يلبسون النظارة الطبية ويجلسون على مواقع التواصل الإجتماعي لأنهم يظنون أن نظرهم لن يضعف مرة أخرى. الكسل يعد من أسوء الصفات لدى الإنسان. العديد من الناس يجلسون على السرير أمام الهاتف يتصفحون مواقع التواصل الإجتماعي، لا يتحركون من مقعدهم. هذه العادة خطرة للجسم وعلى صحة الإنسان، فالجسم يحتاج إلي حركة و المشي أو الرياضة. فخطر جدًا على الجسم أن يجلس في نفس الموضع لساعاتٍ أو يوم كامل فيمرضون و يتعب جسمهم. التواصل مع أفراد العائلة و الجلوس معهم يجلب السعادة للإنسان، لكن أذا إنعزل الإنسان في غرفته مع حاسوبه وهاتفه لن يتذكر أهله و أفراد عائلته. ذات يوم قالت لي فتاة قصتها مع مواقع النواصل الإجتماعي و كيف أثرت على حياتها مع أهلها، قالت الفتاة أنها كانت تجلس ساعات طويلة في غرفتها على هاتفها، لا تتحرك من مقعدها ولا تخرج مع أهلها، كانت منعزلة عن حياتها الإجتماعية، فذات بوم سمعت أهلها في غرفة المعيشة يضحكون و يستمتعون بوقتهم مع بعض، وقالت أنها سترج بعد ساعة. مرت الساعة .خرجن الفتاة لأهلها لكن إنصدمت عندما رأت أن أهلهل قد ذهبوا إلى النوم، فأدركة بعدها أنها إذا لم تغير نمط حياتها سوف تكون وحيدة لا أحد يسأل أو يستقسر عنها. في الختام نستطيع أن ندرك أن لمواقع التراصل الأجتماعي مخاطر عديدة منها الكسل، ضعف النظر، عدم التراصل مع العائلة و أفراد الأسرة. هناك الكثير من العادات الخطرة التي لم أتكلم عنها، لكن بالنسبة لي ان هذه التلاثت مخاطر أهمها.	B1
AR-130-95973	التواصل أصبح جزاً لا يتجزئ من حياتنا اليومية، مع تطور التكنولوجي و توفر الإنترنت لكافة الناس في أنحاء العالم ساهم ذلك في تأثير على فئة كبير من الناس من مختلف الأعامر، ولسيما المراهقين الذين يكثرون في استخداهم لتلك الأجهزة لتواصل و متابعة المشاهير أو لتحدث مع أصدقائهم. و نعلم أن وسائل التواصل الاجتماعي لديها ايجابيات و سلبيات كثيرة و متعددة و من فوائدها :أولاً ، بسبب توفر المعلومات وسهولة الوصول إليها أصبح بحوزتنا المقدرة على متابعة مجموعات مختلفة من الناس الناجحين و المثابرين الذين وصولوا الى القمة.	B1
AR-130-96120	سلاح ذو حدين نحن اليوم نعيش في عصر السرعة والبداهة الإلكترونية، فالكثير لا يعي حقيقة عيشنا في زمن يسهل فيه الخداع والنصب الذي يجب فيه أن تكون ذكي إلكترونياً، فحينما نقول سلاح ذو حدين نقصد به معانٍ كثيرة ولكن ماهو احدها يا ترى؟ وسائل التواصل الاجتماعي هي من احد هذه الأسلحة التي قد تكون في متناول الجميع وسهل امتلاكها والتي قد تضر أو تساعد. فجميعنا ندرك خطورة هذه الوسائل علينا، وعلى أطفالنا، ومجتمعاتنا، ولكن كيف يكون تأثيرها ايجابي أو سلبي وذلك بحسب الشخص وكيفية استخدامه لها، فعلى سبيل المثال يحدد كل فرد أثر هذه التواصل عليه بحسب استخدامها لها إن كان ايجابي أو سلبي، إذا كان استخدامه ايجابي أي أنه يعلم كيف يتجنب المواقع الخطرة، ويستخدم منها ماهو المفيد، ولايضيع وقتها فيه، فحينها يكتمل معنى الاستخدام الايجابي فبذلك تندرج عليه آثار ايجابية، فعلى الفرد النمو الفكري، تطوير النفس، إدارة الوقت بشكل أفضل، وعلى المجتمع التقدم في الفكر والعمل، تحسين وازدهار المجتمع، تقارب وتكافل المجتمع. على الرغم من علم الجميع بمخاطر وسائل التواصل الاجتماعي إلا أن البعض يسيء استخدامها، كمشاهدة البرامج والمسلسلات الغير هادفة، مراسلة الأصدقاء لساعات طويلة، وغيرها من الأمور التي قد تؤدي للشخص بالضياع، فهنا يكون لها تأثير سلبي على الفرد وعلى المجتمع كذلك، إضاعة الوقت بما هو ليس مفيد فالوقت كالسيف إن لم تقطعه قطعك، الهلاك والضياع، والضياع الفكري، أما بالنسبة للمجتمع فتدهوره وتدمره، وفساده فيما هو يضر ولا ينفع، انتشار النزاعات والجرائم بسرعة فائقة لأن هذه الوسائل جعلت العالم يصبح أصغر وأقرب مما كانت عليه سابقاً. وفي النهاية يكون تأثير وسائل التواصل الاجتماعي شديد الأهمية سواء كان على الفرد أو المجتمع، فيجب على الأفراد الحذر من هذا السلاح الخطير واستخدامه بالطريقة الصحيحة ليتجنب العواقب الوخيمة، أو أن تتحقق الفوائد العظيمة.	C1
AR-130-96463	.ان وسائل التواصل الاجتماعي سلاح ذو حدين، لها جانب حاد وهي سلبياتها التي تنعكس على الفرد و المجتمع بصورة عواقب وخيمة مع الزمن، حتى اصبح الناس يطلقون عليها وسائل المحو الاجتماعي ولها ايجابياتها التي تجعل حياة الانسان متطورة متحضرة ومواكبة للتقدم الحضاري يشهد الان العالم العديد من تطبيقات وسائل التواصل الاجتماعي التي تجعل حياة الفرد والمجتمع اسهل، حيث اصبح العالم قرية صغيرة ، لان هذه الوسائل تقرب الناس الى بعضها بطريقة سريعة ومريحة، كما اصبح تناقل المعلومات ونشر الاخبار وتعلم العديد من الاشياء اسهل بكثير، ان هذه الوسائل ساهمت في رفع معدل الانتاج المعلوماتي للمجتمعات، حيث استطاع الفرد نشر خبراتهم في مختلف المجالات في هذه المنصات. لكن لهذه الوسائل جوانب اخرى تاثر فيها على مستوى الفرد مثل الادمان عليها واستخدامها لضياع الوقت، ان عدم استغلال الفرد لها بطريقة صحيحة تاثر في المجتمعات، فتجعله مجتمع متكاسل، عقيم الخبرات والمواهب، وتجعل حياة الفرد اسوء.	B2
AR-130-96479	وسائل التواصل الاجتماعي وتأثيرها على الفرد والمجتمع نعيش الآن في زمن أصبح فيه الكوكب كقرية صغيرة،حيث أن الآخبار تتناقل فيه بسرعه كبيرة، وأصبح البعيد قريب، وهذا كله بفضل وسائل التواصل الاجتماعي، التي ساهمت في جعل التواصل بين الأفراد سهلاً جداً، بعد تلك الرسائل البريدية التي كانت تستغرق أياما لتصل للطرف الآخر، ولكن وسائل التواصل الاجتماعي سلاح ذو حدين، حيث أن لها إيجابيات وسلبيات قد تغطي عليها. أولاً،نرى الكثير من الناس لايستطيعون إمضاء يوم كامل دون استخدام وسائل التواصل الاجتماعي، مما قد يؤثر سلباً عليهم وعلى علاقاتهم وحياتهم الاجتماعية، فقد ظهرت الكثير من الظواهر والمشاكل التي لم تكن موجوده سابقاً، كالتنمر والابتزاز الإلكتروني، وسرقة المعلومات الشخصية واستخدامها لأغراض غير لائقة، وهذا كله بفضل الاستخدام السيئ لوسائل التواصل الاجتماعي، ولا ننسى أن وسائل التواصل الاجتماعي قد سرقت منا الاجتماعات العائلية ومع الاصدقاء، فقد أصبحت الرسائل هي وسائل التواصل الوحيدة بيننا، وقد تحولت تلك الضحكات والجمعات العائلية إلى محادثات لا تحوي على أي من المشاعر الحقيقية. ثانيا،في الطرف الآخر، فإن وسائل التواصل الاجتماعي لها إيجابيات كثيرة، فقد سهلت نشر المعرفة بين كافة فئات المجتمع، وقللت متاعب الغربة على البعض من خلال المكالمات بالفيديو، وأيضا وفرت الكثير على الجهات الحكومية وغيرها، حيث أنه يمكن لأي شخص إنهاء معاملاته في دقيقة دون أي تعب، وقدمت الكثير من الخدمات كالشراء والبيع من خلالها. في الختام، إن وسائل التواصل الاجتماعي تعتمد على كيفية استخدامها ، فكما قلنا سابقا هي سلاح ذو حدين، لذا على الجميع توخي الحذر عند استخدامها، وتوقع أخطاء الآخرين أيضاً، ولا ننكر أنها أصبحت جزء لا يتجزأ من حياتنا في هذا الزمان.	C1
AR-130-96682	وسائل التواصل الاجتماعي عندما دخلت وسائل التواصل الاجتماعي عالمنا، أحدثت تغيّراً هائلاً في حياتنا اليومية، ولكن لكل شيء جديد جوانب إيجابيّة وسلبيّة، فقد أصبح بعض الناس أكثر قرباً لبعضِ أصدقائهم المغتربين، والبعض أصبحوا أكثر بعداً عن أخوانه الّذين يجلسون في الغرفة المجاورة، وهنا يأتي دور الفرد في استخدام الشيء باتّزان. إنّ وسائل التواصل الاجتماعي أفادة شتّى البشر، فقد أصبح من الممكن أن ترى وتطمئن على أخاك الّذي سافر ليدرس في دولة بعيدة وأنت في صالة منزلك، وتستطيع أن تسمع أخبار العالم بكبسة زر، وغيرها الكثير من الأشياء الجميلة والمفيدة الّتي تستطيع أن تفعلها إذا باستخدامك لوسائل التواصل الاجتماعي، ولكن هناك من يسيء استخدامها. فهناك من استخدموا هذه التكنلوجيا لعمل السوء، فمنهم من ينشر الإشاعات ويشوّه سمعة مجتمع ودولة، ومنهم من أصبح مدمناً في استخدام هذه الوسائل حتّى أثّر ذلك على جسده فبسبب الادمان أصبح هذا الشخص كسولاً، لا يحب الحركة، وبتّالي سوف يكون أكثر عرضة للأمراض. ولذلك يجب علينا أن نستخدم هذه الوسائل بحكمة وباتزّان، لأنّ أي شيء إذا استخدمته زيادة عن اللزوم سوف ينقلب ضدّك.	B2
AR-130-96735	في هذا العصر الجديد الجميع مدمنون على الكنولجيا و خصيصاً استخدام التواصل الاجتماعي يوميا من دون توقف. في كل شيء تتواجد السلبيات و الايجابيات و لكن بعض الاحيان قد تتدفق السلبيات على الايجابيات من ما سيجلعها اكثر خطرا على المجتمع. وسائل التواصل الاجتماعي هي وسيله للتواصل و معرفة اخر الاخيار المهمه في العالم. يمكن للفرد ان يستخدم التواصل الاجتماعي بالطريقة الصحيحة وهذا باتباع القوانين المطالبة. من اكبر مخاطر استخدام التواصل الاجتناعي و اكثرها عرضاً هي استخدام الاطفال بشكل غير صحي للتواصل الاجتماعي بالطريقة الاخاطئة من ما يؤدي الى الكثير من المشاكل. تتواجد الكثير من الاشياء المطروحه على التواصل الاجتماعي التي لا يجب لأي طفل ان يراها او يقرأها ولا تتواجد امور لمنع ظهور هذه الاشياء التي قد تضر تفكير الطفل و افعاله. كما ان استخدام التواصل الاجتماعي قد يظر بالصحه النظريه و الجلوس لوقتٍ طويل للنظر الى الهاتف. كما ان في بعض الاحيان تتداول مواضيع سياسيه بين الدول قد يقع الشخص في الكثير من المصائب اثناء طرحها او التعليق عليها. لهذا يجب على الافرد ان يكون واعياً على هذه المخاطر و عليه ان يعرف مدى اهميتها لعدم الوقوع في هذه الاخطاء و استخدام التواصل الاجتماعي بشكل صحيح.	B1
AR-130-96882	في عام ٢٠١٩ اطلق صاحب سمو الشيخ محمد بن راشد ال مكتوم لهذا العام بآسم عام التسامح لتعزيز و ترسيخ معنى التسامع لدى افراد مجتمع الإمارات العربية التحدة وحرصه على نشر التسامح بين الناس. اصدرت الكثير من المحاضرات و المجلات ذكر اهمية التسامح كما ان الكثير في المدارس اطلقت مبادرات عن التسامح و تركيزها على الآطفال لتعزيز مفهوم التسامح منذ الصغر لغرس الحب في التسامح في قلوبهم كما ان حرص النبي صلى الله عليه وسلم على التسامح و كان يمتاز بهذه الصفة رغم مواجهته للكثير من الصعوبات من قبل العديد من الناس فكان يمتاز بهذه الصفة الحميدة لذلك اهتمت دولة الإمارات و حاكم دبي بإطلاق هذا الأسم ليهتم الكثير به وتطبيقه في حياتهم اليومية فهية صفو محبوبة عند الله كما انه ذكر في دين الأسلامي و حرص الدين الأسلامي على الاقتدا بالنبي عليه الصلاة و السلام وهذه الصفة النبيلة.	B1
AR-130-96883	في عصرنا الحالي المبني على التكنولوجيا، تتمتع وسائل التواصل الإجتماعي بأهمية كبيرة، حيث يستصعب على الكثير من الناس العيش من دونها. لدى وسائل التواصل الإجتماعي أثر كبير على حياتنا اليومية وعلينا أن نتفادى الوقوع في سلبيات هذه الآثار. لدى وسائل التواصل الإجتماعي إيجابيات وسلبيات عديدة، من إيجابيات هذه الوسائل التعرف على ناس جدد وشعوب مختلفة، بذلك نكون قد كوّنا دائرة جديدة من الأصدقاء، وهذا بحد ذاته يساهم في تطوير شخصياتنا، وقال الله عز وجل: (وخلقناكم شعوباً وقبائل لتعارفوا). من الآثار الجميلة أيضاً هي نشر الوعي لدى الفرد والمجتمع. عندما نستغل هذه الوسائل في تمنية المجتمع ونشر قيم مهمة، نكون قد أجدنا استخدامها. أما إذا استغلينا هذه الوسائل في نشر الفكر الخاطئ، نكون قد وقعنا في فخ وسائل التواصل الإجتماعي. من سلبيات هذه الوسائل هو استغلالها في نشر الإشاعات والتحدث بشكل خاطئ عن الآخرين. الأمر السيء في وسائل التواصل الإجتماعي هو سرعة انتشار الأخبار التي معضمها يكون خاطئاً، فنحن كأفراد بالغين وعاقيلن، يجب علينا أن نمنع انتشار هذه الإشاعات بتخفيف استخدام وسائل التواصل الاجتماعي. مع الاستخدام الكثير للتكنولوجيا ووسائل التواصل الاجتماعي، يجب علينا أن ندرك أثرها علينا حتى لا تؤثر سلبياً على حياتنا اليومية.	C1
AR-130-97035	إن وسائل التواصل الاجتاعمي يلعب دورا مهما في حياتنا الاجتماعيه في قرننا هذا فكل شئ يحدث عبر الانترت و مواقع التواصل الاجتاعمي. لهذه المواقع آثار ايجابيه و آثار سلبيه على المجتمع ،و ترتكز آثاره السلبيه على الاطفال بالاكثريه. الآثار الايجابيه في موقع التواصل الاجتماعي انه يسهل عمليه التواصل مع الاقارب والاصحاب ففي الماضي كان الآباء يخرجون من منازلهم للذهاب الي منزل جارهم او صاحبهم لنقل الاخبار بسبب عدم وجود هواتف او وسائل للتواصل ، حاليا فإن التواصل من الاخرين سهل جدا لتوفر المواقع و البرامج للتواصل و ايضا إن البحث عن المعلومات اصبح اسهل بكثير لذلك فإن وجود هذه الوسائل للتواصل الاجتماعي مهم. لوسائل التواصل الاجتماعي ايضا تأثيرا سلبيا على المجتمع منهم الكبار و الصغار فإنه يحجب من تواصل الاشخاصفي مان غير الهواتف فرؤيه الاصحاب اصبحت قليله لوجود المواقع و الانترنت ، و للاطفال فإن مواقع التواصل له اثر سلبيا عليهم و له مخاطر على الاطفال فبإمكانهم التواصل مع اشخاص لا يعرفونهم و يمكن ان يسسبوا خطوره كبيره عليهم و سهوله احتيالهم و النصب عليهم اذا لم يتواجب شخص بالغ و عاقل معهم و مواقع التواصل الاجتماعي يمكن ان يتشر فيها اخبار كاذبه و منها حقيقيه لذلك يجب الحذر من بعض مواقع التواصل الاجتماعي و مراقبه الاطفال. تتطور وسائل التواصل الاجتماعي بين الحين و الآخر و تظهر منه ايجابيات جديده و سلبيات جديده وعلى المجتمع الحذر دائما من الوقوع في الفخ لان ليس كل شئ يقال يصدق.	B2
AR-130-97236	السوشل ميديا كلنا نعلم إلى أين وصلت المرحلة التطورية التي تسمى بمسمى التواصل الإجتماعي أو السوشل ميديا.وكيفية جعلت كل شخص يدمن عليها بشكل لايوصف سواء شخص بالغ أم طفل،فلكل شيئ في هذه الأرض يوجد به التأثيرات الجيدة والمفيدة وكذلك التأثيرات السلبية.ف سوف أعرفكم أن أهمية وسائل التواصل الإجتماعي وكيفية تأثيره على حياتنا سواء على الفرد اأو المجتمع التواصل الإجتماعي هو عبارة عن وسيلة يجيدها البعض ويجهلها البعض وهيه تكون متكونة من عدة برامج وأمثلة عليها:الإنستغرام،تويتر،سناب شات وغيرها من البرامج الدينية والثقافية وغيرها.وهي تستختدم للتواصل والإستفادة من المعلومات وأيضاً لقضاء وقت الفراغ للإيستمتاع بطعم الجياة.البعض منا يفكر أو أنه يضع فكرة أن السوشل ميديا لها فوائد كثيرة ولا يوجد بها سلبيات ولكن أريد أن أبث له رسالة أن كل شيئ في هذا الكوكب الصغير يوجد به المحسنات والأمور الغير جيدة.ف تكون هذه الآثار على الفرد والمجتمع. الآثار اللإيجابية على أستخدام الوسائل المتطورة(التواصل الإجتماعي)وهي:1-نبحث عن الكثير من المعلومات من خلال الشبكة العنكبوتية.2-إستغلال وقت الفراغ والحد من الملل.3-التواصل مع الأهل والأقارب لتوفير من الوقت وكذلك التواصل مع خارج البلاد والأصدقاء.وهنا الآثار السلبيةأولاً:إنتشار الأمراض مثل البدانة وضياع النظر.ثانياً:إستخدامها بطريقة غير ملائمة وأستخدامها وسيلة لإستغلال بعض الأشخاص ب التهديدات وغيرها من الأمور المكروها.ثالثا والنقطة المهمة:إنشغال الناس بالتواصل الإجتماعي عن الأمور الدينية والصلاة وقراءة القرآن وكثرة النوم والكسل. نتناول هنا الآثار من الناحيتين على المجتمع.أولاً:الإيجابيات:البحث عن الكثير من المعلومات الجيدة والمفيدة مما يساعد على تطور البحث العلمي.نشر الثقافات بين الدول والإستفادة منهم وتبادل التعاون والتكافل مثل ما حثنا الله سبحانه تعالى.الإستفادة منها في حجز مواعيد المستشفى أو غيرها مما سهل عملية سهولة العمل مع الناس.وأيضاً مع تقدم التواصل الإجتماعي ساهم في كثرة الجرائم الإ|لكترونية والتعدي على الخصوصيات ف جعل الدول لاتثق في بعضها.جعل الأمراض المزمنة تتكاثر بشكل غير طبيعي مثل أمراض القلب لقلة الحركة وقلة العمل والكسل الدائم.وغيرها من الأمور التي يجب أن تحد لانها سببت مشاكل كثيرة على المجتمع. وأخيراً أنصح كل شخص بإستخادم الكوكب الذكي الصغير الذي يحمله بيده كل يوم وهنا أقصد الهاتف بإستغلاله بطريقة جيدة ومفيدة لكي يستفيد هو وغيره وليتطور مجتمعه ولكي يساهم في ظهور التخصصات المستقبلية وغيرها.	B2
AR-130-97412	وسائل التواصل الاجتماعي اصبحت وسائل النواصل الأجتماعي من أكثر المور المنتشرة في عالمنا اليوم، و لها بعض الأيجابيات و السلبيات على الفرد و المجتمع. تعتمد على طريقة الشخص و استعماله للبرامج. تصبح وسائل التواصل الأجتماعي ايجابية عندما الفرد يستخدمها من أجل العلم، على سبيل المثال يدخل على مواقع يبحث عن مواضيع تساعده في دراسته، او عندما يتحدث مع الآخرين ليتلقى بعض المعلومات التي تساعده ان ينمي مهاراته. يكون ايضاً ايجابياً عندما الشخص يسعد نفسه في استخدامها، لكن لفترة قصيرة فقط.يكون تأثير وسائل التواصل الاجتماعي ايجابياً على المجتمع عندما يكون بعيداً عن الفساد، على سبيل المثال يجتمعوا الكثير من الناس في مجموعات في الواتس اب او برنامج آخر، و يشارك بعضهم البعض في مواضيع تطور من حياتهم، او تحذرهم من موضوعاً ما كالفيروس في بعض المواقع و نحوهما من الأمور. أيضاً تكون ايجابية عندما يجتمع الطلاب فيها، و يشاركوا افكارهم و يقوموا بمساعدة بعضهم البعض. تصبح وسائل التواصل سلبية على الفرد عندما يستخدمها من أجل الانشغال عن تعليمه او عن عمله، و عندما يستخدمها من أجل التواصل مع افراد ينشرون الفساد، او عندما يكون مندمناً عليها، ولا يريد الاجتماع مع الآخرين بسبب تأثيرها السلبي عليه. تأثيرها يكون سيء على المجتمع عندما يجتعوا مع بعضهم البعض مع ثقافات أخرى او اناس ينشرون الفساد، و يكون هدفهم الشر، و تكون وسائل التواصل الأجتماعي هي الأمر الذي يساعدهم من أجل الوصول الى ما يرديرون الوصول اليه. اصبحت تأثر بشكل كبير على الاجتمعات بين الأهل و الأصداقاء، اصبت الناس لا تريد ان تجتمع وجهاً ب وجه، يريدون فقط التحدث من خلال البرامج. إن كانوا في اجتماع مع بعضعم فكل احد منهم يستخدم هاتفه ولا يلفت الى الآخر، وهذا يجعل كبار المسنين بأن يشعروا ان لا أهمية لهم. تعتمد وسائل التواصل الأجتماعي على الشخص و طريقة استعماله. يجب أيضً من قبل اولياء الامور أن يراقبوا ابنائهم حتى لا يصلوا الى مرحلة الفساد. هذا أيضاً من أجل الوصول الى مجتمع ناتج و نافع و إيجابي.	B1
AR-130-97455	وسائل التواصل الاجتماعي وتأثيرها على الفرد والمجتمع ظهرت خلال القرن الحالي وسائل حديثة تسهم في تطوير المجتمعات وتسهيل حياة الفرد، من بعض هذه الوسائل هي التواصل الاجتماعي عبر التطبيقات الاكترونية. هل يا ترى تسآلنا عن مدى مضار هذه الوسائل؟ ام انها مفيدة للمجتمع؟. في رواياتِ للاجداد في السابق يقولون أن الاكثار في اي عمل يكون مظاره اكثر من فوائده، واثبتت دراسات علمية بأن الادمان على وسائل التواصل الاجتماعي يزيد من الامراض النفسية كالاكتئاب والوحدة والانعزال عن العالم الخارجي. ولكن على الجهة الاخرى ذكرت بعض الوسائل والصحف ان التواصل الاجتماعي يزيد من ثقافة الشخص بالتعرف على العادات للدول الاخرى. في عام ٢٠١٦ اجريت ابحاث وتجارب على مجموعة من المجتمع تظهر فوائد ومضار وسائل التواصل الاجتماعي، كانت النتيجة صادمة بعض الشيء حيث انها اظهرت ان معدل الانتحار ارتفع مع ظهور هذه الوسائل وانها مضرة جدا للفرد. وناقشت الصحيفة عن الانغماس الاجتماعي بالخروج مع الاصدقاء يساهم في زيادة السعادة للفرد وان الوسائل الحديثة تؤثر على صحة الانسان من حيث ضعف النظر وامراض السمنة وغيرها من الامراض المتلعقة بعدم الحركة والادمان على الجلوس والاستمتاع بهذه الوسائل. لكن تاثيرها على المجتمع اظهر نتائج معاكسة حيث انها زادت من ثقافة المجتمع والتعرف على ثقافات وعادات دول مختلفة . في الختام لكل عادة او وسيلة فوائد ومضار وهذا يعتمد على مدى استعمال الشخص للوسيلة فالدراسات اظهرت ان وسائل التواصل الاجتماعي تزيد من ثقافة الفرد وتكسبه العلم والمعرفة وانها ترتقي بالمجتمع الى التطور والوعي للعالم الحالي، في الجهة الاخرى الادمان على هذه الوسائل يزيد من عمليات الانتحار والامراض النفسية للفرد وتفكك المجتمعات وازدياد المشاكل على المجتمع.	B2
AR-130-97525	في الآوان الآخيرة شهد العالم تطوراً في مجال التواصل الإجتماعي و بما في ذلك من نتائج تدل على مدى تأثير وسائل التواصل الإجتماعي على الفرد و المجتمع، و من المعروف أنه هناك آثار إيجابية و أخرى سلبية. أولاً، للوسائل التواصل الإجتماعي عدة إيجابيات فمنها أنه يمكننا و بسهولة التواصل مع أقاربنا و أصدقائنا الذين يسكنون بعيداً عنا و أيضاً يمكننا التواصل مع أي فرد يعيش في منطقة حول العالم، كما أن التواصل الإجتماعي ساعد الأفراد على تحسين العلم و إيجاد أناس آخرين يشاركونك إهتماماتك و هواياتك مما يؤدي إلى تطوير مهارات الفرد و إكتساب مهارات و علوم جديدة من الآخرين. إن وسائل التواصل الإجتماعي أثرت على المجتمع من نواحٍ إقتصادية و إجتماعية فلقد باتت هذه الوسائل تسهل على الأفراد شراء ما يحتاجون له من خلال الانترنت أو إجاد حل لأي سؤال لدى الفرد. هذه الوسائل قامت بجعل المجتمع أكثر إنفتاحاً على مفاهيم جديده و أفكار متشابه. ثانياً، لكل شيء إيجابيات و سلبيات ، فلسلبيات في هذه الوسائل التواصل الإجتماعية أنه أصبح من السهل إيصال أفكار سلبية للفرد و قد أدت كثرة إستخدام الهواتف للتواصل لتفريق و تضعيف العلاقات العاذلية التي تعيش معها حيث أصبح الأشخاص لا يعرفون كيفية التواصل وجهاً لوجه. ظهرت أمراض جديدة و كثرة الجرائم الإلكترونية ، فقد نتج عن كثرة إستخدام الأجهزة الإلكترونيه ضعف النظر ،و أحيانا شلل في اليدين ،و كثرة الشحنات في الجسم و قلة النوم كما أن الجرائم الإلكترونية أصبحت أمراً عادي و شديد الخطورة لأنه من الممكن للمجرم سرقة بياناتك و إستغلالها في تهديدك من أجل مبلغ ما أو يستخدم هويتك لإرتكاب جرائمة الخطيرة. و في الختام ، إن وسائل التواصل الإجتماعي نعمة و نقمة في آن واحد وذلك بكيفية إستخدامك لها فإذا إستخدمتها بشكل صحيح تجعل حياتك راحة و سهلة و إذا إستخدمتخها بشكل خاطئ ستحل المشاكل عليك مثل البحر.	B2
AR-130-97652	التطور الحضاري الذي تشهده دولة الإمارات العربية المتحدة لم يمض على قيام دولة الإمارات العربية المتحدة خمسون عاماً، ومع ذلك هناك فرق كبير جداً قبل أربعون عاماً مقارنةً بالآن، فقد حرصت الحكومة على تطوير الدولة من كل النواحي مثل التعليم، الصحة، العمران، وغيرها من المجالات. كان عدد الطلاب قليلاً جداً في فترة السبعينات، وكان معظم الطلاب يذهبون إلى إمام المسجد أو بما يطلق عليه المطوع؛ لحفظ القرآن ، ومع مرور الزمن، بدأ الطلاب و الطالبات بالذهاب إلى المدرسة، وكانوا يدرسون باستخدام الكتب، ومع التقدم الحضاري ومواكبة التطور، أصبح التلاميذ في دولة الإمارات يدرسون باستخدام التقنية والإجهزة الإلكترونية، وأصبحت دولة الإمارات الآن من أكثر الدول المتقدمة في مجال التعليم باستخدام التكنلوجيا. وقد شهدت دولة الإمارات تطور كبير في مجال الرعاية الصحية، فقديماً كان بعض الأمراض مثل الجدري وغيره من الأمراض القاتلة، وكان العلاج الأكثر استخداماً وشيوعاً هي الأعشاب، أما الآن فقد أصبح علاج مرض الجدري سهل جداً، وأصبح الأطباء يعتمدون على الحبوب والأدوية في علاج الناس، وتكون هذه الأدوية فعالة جداً . عاش أجدادنا وآبائنا في بيوت بسيطة جداً مصنوعة من مواد بسيطة جداً مثل سعف النخيل والطين، ومع مرور الوقت ، تكاثرت الموارد التي ساهمت في بناء بيوت كبيرة وجميلة من كل الجهات، وقد ظهرت عدة معالم للدولة أبرزها برج خليفة الذي مازال أطول برج في العالم، وغيره من المعالم التي برزت بسبب التطور الحضاري في الدولة. جميع التغيرات التي حدثت تشهد أن التطور الحضاري في دولة الإمارات كبير جداً، ومازالت الدولة تعمل على تطوير الدولة أكثر وأكثر، لأن رؤية الدولة هي أن تكون في المرتبة الأولى من جميع النواحي.	B2
AR-130-97726	.ما أثر وسائل التواصل الاجتماعي و تأثيرها على الفرد و المجتمع ؟ وسائل التواصل الاجتماعي سلاح ذو حدين ، له إجابيات كثيره و سلبيات كثيره تؤثر على الفرد لقد سمعنا في الفترة الاخيره مشاكل كثيرة عن التواصل الاجتماعي و التي تؤدي الى الانتحار في بعض الاحيان و المرض النفسي ، للاتواصل الاجتماعي سلبيات و منها : كثره استخدام مواقع التواصل الاجتماعي تؤدي ضعف النظر و و ايضا بمعنى مختلف ( التنمر ) و التي تحذر منه دولتنا الحبيبه الإمارات العربية المتحدة و ايضا الجلوس لمدة طويله على مواقع التواصل الاجتماعي يؤدي الى التكاسل في فعل بعض الامور ، و لكن لا ننسى فضل مواقع التواصل الاجتماعي في تطوير و تسهيل بعض الامؤر ، مثال: كتخفيف تكاثف السيارات في الشوارع ، لقد نظمت حكومات و موؤسسات في دولة الامارات العربيه المتحدة برامج في الهواتف و الحاسوب لتخليص المعاملات بسهولة و سرعة و تجنب زحمة السيارات و ايضا تجنب وقوف المتعاملين في طوابير طويلة لإنهاء الاجراءات . و في النهايه لكل شيء ايجابيات و سلبيات و يجب على الانسان استخدامها بطريقة جيدة و لا يسوء استخدامها.	B2
